/ Control Events;;;;;

EVT_EFIS_CPT_VOR_ADF_SELECTOR_R;70000;368
EVT_EFIS_CPT_WXR;70001;369
EVT_EFIS_CPT_STA;70002;370
EVT_EFIS_CPT_WPT;70003;371
EVT_EFIS_CPT_ARPT;70004;372
EVT_EFIS_CPT_DATA;70005;373
EVT_EFIS_CPT_POS;70006;374
EVT_EFIS_CPT_TERR;70007;375

/ EFIS F/O control panels;;
/;;
EVT_EFIS_FO_MINIMUMS;70043;411

EVT_EFIS_FO_MINIMUMS_RADIO_BARO;70044;412
EVT_EFIS_FO_MINIMUMS_RST;70045;413
EVT_EFIS_FO_VOR_ADF_SELECTOR_L;70046;414
EVT_EFIS_FO_MODE;70047;415
EVT_EFIS_FO_MODE_CTR;70048;416
EVT_EFIS_FO_RANGE;70049;417
EVT_EFIS_FO_RANGE_TFC;70050;418
EVT_EFIS_FO_FPV;70051;419
EVT_EFIS_FO_MTRS;70052;420
EVT_EFIS_FO_BARO;70053;421;;
EVT_EFIS_FO_BARO_IN_HPA;70054;422;;
EVT_EFIS_FO_BARO_STD;70055;423;;
EVT_EFIS_FO_VOR_ADF_SELECTOR_R;70056;424;;
EVT_EFIS_FO_WXR;70057;425;;
EVT_EFIS_FO_STA;70058;426;;
EVT_EFIS_FO_WPT;70059;427;;
EVT_EFIS_FO_ARPT;70060;428;;
EVT_EFIS_FO_DATA;70061;429;;
EVT_EFIS_FO_POS;70062;430;;
EVT_EFIS_FO_TERR;70063;431;;


/ Display select panels;;;;
/ ;;;;
EVT_DSP_CPT_BELOW_GS_INHIBIT_SWITCH;69959;327;;/ CAPT Side BELOW GS INHIBIT Pushbutton
EVT_DSP_CPT_MAIN_DU_SELECTOR;69967;335;;/ CAPT side MAIN PANEL DISPLAY UNITS ( MAIN PANEL DUs ) Selector 
EVT_DSP_CPT_LOWER_DU_SELECTOR;69968;336;;/ CAPT side LOWER DISPLAY UNIT ( LOWER DU ) Selector 
EVT_DSP_CPT_DISENGAGE_TEST_SWITCH;69974;342;;/ CAPT side DISENGAGE LIGHTS TEST switch
EVT_DSP_CPT_AP_RESET_SWITCH;69971;339;;/ CAPT Side AP RESET Pushbutton
EVT_DSP_CPT_AT_RESET_SWITCH;69972;340;;/ CAPT Side AT RESET Pushbutton
